keys,en,es
TOOLTIP_SCOUT,Fast cavalry available from Dark Age. Has an auto-explore ability.,Caballería rápida disponible desde la Edad Oscura. Tiene una habilidad de exploración automática.
ACTION_SCOUT_EXPLORE,Explore (E),Explorar (E)
TOOLTIP_SCOUT_EXPLORE,The Scout roams the map autonomously for 60 seconds.,El Explorador recorre el mapa automáticamente durante 60 segundos.
ACTION_SCOUT_EXPLORE_STOP,Stop Explore (E),Detener Exploración (E)
TOOLTIP_SCOUT_EXPLORE_STOP,Cancel the auto-explore and return control to the player.,Cancela la exploración automática y devuelve el control al jugador.
ACTION_WATCH_TOWER,Watch Tower\n125S,Torre Vigía\n125P
TOOLTIP_WATCH_TOWER,Defensive tower that automatically attacks nearby enemies. Requires Feudal Age. [O],Torre defensiva que ataca automáticamente a los enemigos cercanos. Requiere Edad Feudal. [O]
LOBBY_HERO_GENDER,Hero Gender,Género del Héroe
LOBBY_HERO_RANDOM,Random (50/50),Aleatorio (50/50)
LOBBY_HERO_MALE,Male,Masculino
LOBBY_HERO_FEMALE,Female,Femenino
LOBBY_HERO_RANDOM_DESC,One hero will be randomly selected at match start,Un héroe será seleccionado aleatoriamente al inicio de la partida
HERO_DACIL_ABILITY,Mountain Voice,Voz de la Montaña
HERO_DACIL_ABILITY_DESC,Grants nearby allies +2 armor and +50% healing rate for 12s.,Otorga a aliados cercanos +2 armadura y +50% tasa de curación durante 12s.
HERO_GUAYARMINA_ABILITY,Fate's Arrow,Flecha del Destino
HERO_GUAYARMINA_ABILITY_DESC,Fires an unblockable arrow dealing 80 damage (ignores armor). Cooldown halved if target dies.,Dispara una flecha imparable que hace 80 de daño (ignora armadura). Enfriamiento reducido a la mitad si el objetivo muere.
HERO_TIBIABIN_ABILITY,Sandstorm,Tormenta de Arena
HERO_TIBIABIN_ABILITY_DESC,"Creates a 200px sandstorm for 10s: enemies take 3dmg/s, -40% speed, -50% projectile accuracy.","Crea una tormenta de arena de 200px durante 10s: enemigos reciben 3 daño/s, -40% velocidad, -50% precisión de proyectiles."
HERO_CATALINA_ABILITY,Honor Duel,Duelo de Honor
HERO_CATALINA_ABILITY_DESC,"Challenges an enemy hero: both deal +100% damage to each other, -50% to others for 15s. Heals 50% HP if wins.","Desafía a un héroe enemigo: ambos hacen +100% daño entre sí, -50% a otros durante 15s. Cura 50% HP si gana."
HERO_GRACE_ABILITY,Boarding Action,Abordaje
HERO_GRACE_ABILITY_DESC,"Dashes 200px in a line, dealing 30 damage and stunning enemies for 2s. 100 damage to buildings.","Se lanza 200px en línea, haciendo 30 de daño y aturdiendo enemigos durante 2s. 100 de daño a edificios."
HERO_DULCINEA_ABILITY,Call to Arms,Llamada a las Armas
HERO_DULCINEA_ABILITY_DESC,Summons 3 temporary Militia (+20% HP/attack) for 40s. They don't count as casualties.,Invoca 3 Milicia temporales (+20% HP/ataque) durante 40s. No cuentan como bajas.
HERO_CLEITO_ABILITY,Rising Tide,Marea Creciente
HERO_CLEITO_ABILITY_DESC,Creates a 250px wave: allies heal 60HP and gain +30% speed for 8s; enemies take 20 damage and -20% speed for 4s.,Crea una ola de 250px: aliados curan 60HP y ganan +30% velocidad durante 8s; enemigos reciben 20 de daño y -20% velocidad durante 4s.
HERO_ELISSA_ABILITY,Mercenary Pact,Pacto Mercenario
HERO_ELISSA_ABILITY_DESC,Spends 400 gold to permanently convert one enemy unit (non-hero) within 200px.,Gasta 400 de oro para convertir permanentemente una unidad enemiga (no héroe) dentro de 200px.
UI_FOLLOW_CAMERA,Follow camera,Seguir con la cámara
UI_FOLLOWING,Following,Siguiendo
UI_GAME_SPEED,Game speed x%d,Velocidad x%d
UI_MENU,Menu (Esc),Menú (Esc)
UI_PAGE_PREV,Previous page,Página anterior
UI_PAGE_NEXT,Next page,Página siguiente
UNIT_VILLAGER,Villager,Aldeano
UNIT_MILITIA,Militia,Milicia
UNIT_MAN_AT_ARMS,Man-at-Arms,Hombre de Armas
UNIT_LONG_SWORDSMAN,Long Swordsman,Espadachín
UNIT_PIKEMAN,Pikeman,Piquero
UNIT_ARCHER,Archer,Arquero
UNIT_SCOUT,Scout,Explorador
UNIT_HEAVY_SCOUT,Heavy Scout,Explorador Pesado
UNIT_KNIGHT,Knight,Caballero
UNIT_BATTERING_RAM,Battering Ram,Ariete
UNIT_MANGONEL,Mangonel,Manganela
UNIT_TREBUCHET,Trebuchet,Trabuquete
UNIT_FISHING_BOAT,Fishing Boat,Barco Pesquero
UNIT_TRANSPORT_SHIP,Transport Ship,Barco de Transporte
UNIT_WAR_GALLEY,War Galley,Galera de Guerra
UNIT_LONGBOWMAN,Longbowman,Arquero de Tiro Largo
UNIT_MENCEYES_GUARD,Menceyes Guard,Guardia del Mencey
UNIT_RAVINE_ARCHER,Ravine Archer,Arquero del Barranco
UNIT_SAND_RAIDER,Sand Raider,Saqueador de Dunas
UNIT_CHEVALIER_NORMAND,Chevalier Normand,Chevalier Normando
UNIT_CONQUISTADOR,Conquistador,Conquistador
UNIT_TIDECALLER,Tidecaller,Invocador de Mareas
UNIT_TRIREME,Trireme,Trirreme
BUILDING_TOWN_CENTER,Town Center,Centro Urbano
BUILDING_HOUSE,House,Casa
BUILDING_BARRACKS,Barracks,Cuartel
BUILDING_ARCHERY_RANGE,Archery Range,Galería de Tiro
BUILDING_STABLE,Stable,Establo
BUILDING_SIEGE_WORKSHOP,Siege Workshop,Taller de Asedio
BUILDING_DOCK,Dock,Muelle
BUILDING_BLACKSMITH,Blacksmith,Herrería
BUILDING_UNIVERSITY,University,Universidad
BUILDING_TEMPLE,Temple,Templo
BUILDING_MARKET,Market,Mercado
BUILDING_WONDER,Wonder,Maravilla
BUILDING_WATCH_TOWER,Watch Tower,Torre de Vigilancia
BUILDING_WALL_SEGMENT,Wall,Muralla
BUILDING_GATE,Gate,Puerta
BUILDING_FARM,Farm,Granja
BUILDING_FISH_TRAP,Fish Trap,Trampa para Peces
BUILDING_LUMBER_CAMP,Lumber Camp,Campamento Maderero
BUILDING_MINING_CAMP,Mining Camp,Campamento Minero
UI_HERO,Hero,Héroe
UI_HERO_WIDGET_TOOLTIP,Your hero — if they fall the match is lost. Click to center the camera.,Tu héroe — si cae pierdes la partida. Click para centrar la cámara.
ACTION_STANCE_AGGRESSIVE,Aggressive,Agresivo
ACTION_STANCE_DEFENSIVE,Defensive,Defensivo
ACTION_STANCE_STAND_GROUND,Stand Ground,Mantener posición
ACTION_STANCE_PASSIVE,No Attack,No atacar
TOOLTIP_STANCE_AGGRESSIVE,Chase any enemy that comes close,Persigue a cualquier enemigo que se acerque
TOOLTIP_STANCE_DEFENSIVE,Fight back but return to position,Contraataca pero vuelve a su posición
TOOLTIP_STANCE_STAND_GROUND,Attack in range without moving,Ataca a su alcance sin moverse
TOOLTIP_STANCE_PASSIVE,Never attack on its own,Nunca ataca por su cuenta
ACTION_FORMATION_LINE,Line,Línea
ACTION_FORMATION_BOX,Box,Cuadro
ACTION_FORMATION_SPREAD,Spread,Dispersa
ACTION_FORMATION_RINGS,Rings,Anillos
TOOLTIP_FORMATION_LINE,Rows facing the target: melee in front and ranged behind,Filas de cara al objetivo: melé delante y a distancia detrás
TOOLTIP_FORMATION_BOX,Compact square block,Bloque cuadrado compacto
TOOLTIP_FORMATION_SPREAD,Wide spacing against splash damage,Espaciado amplio contra daño en área
TOOLTIP_FORMATION_RINGS,Concentric rings around the click,Anillos concéntricos alrededor del click
UI_UNGARRISON,Ungarrison,Desalojar
TOOLTIP_UNGARRISON,Eject all garrisoned units,Saca a todas las unidades guarecidas
TOOLTIP_GARRISON_HINT,Right-click with military units to garrison them,Click derecho con unidades militares para guarecerlas
UI_LOCATE_HERO,Locate hero,Localizar héroe
UI_GARRISONED,Garrisoned: %d / %d,Guarecidos: %d / %d
ACTION_GARRISON,Garrison,Guarecerse
TOOLTIP_GARRISON,Click one of your buildings to shelter inside,Haz clic en un edificio tuyo para guarecerte dentro
ACTION_TOWN_BELL,Town Bell,Campana
TOOLTIP_TOWN_BELL,Ring: villagers shelter in the nearest building. Ring again to release everyone,Tocar: los aldeanos se guarecen en el edificio más cercano. Vuelve a tocar para desalojar a todos
UI_CONFIRM_DESTROY_GROUP,Demolish %d buildings?,¿Demoler %d edificios?
MENU_LAN,LAN Multiplayer,Multijugador LAN
LAN_TITLE,LAN Multiplayer,Multijugador LAN
LAN_HINT,Host a match or join one on your local network. The match uses the host's last lobby settings.,Crea una partida o únete a una en tu red local. La partida usa la última configuración de lobby del host.
LAN_HOST,Host match,Crear partida
LAN_START,Start match,Empezar partida
LAN_JOIN,Join,Unirse
LAN_WAITING,Waiting for players… your IP: %s (port %d),Esperando jugadores… tu IP: %s (puerto %d)
LAN_PLAYER_JOINED,Player %d joined! You can start.,¡Se ha unido el jugador %d! Ya puedes empezar.
LAN_CONNECTING,Connecting…,Conectando…
LAN_CONNECTED_WAIT,"Connected! Waiting for the host to start…","¡Conectado! Esperando a que el host empiece…"
LAN_JOIN_FAILED,Could not connect. Check the IP and that the host created the match.,No se pudo conectar. Revisa la IP y que el host haya creado la partida.
LAN_PORT_ERROR,Could not open the port (already in use?).,No se pudo abrir el puerto (¿ya está en uso?).
LAN_NAME,Name:,Nombre:
LAN_NAME_PLACEHOLDER,Your name,Tu nombre
LAN_DEFAULT_NAME,Player %d,Jugador %d
LAN_PLAYER_COUNT,Players: %d / %d,Jugadores: %d / %d
LAN_PICK_COLOR,Your colour:,Tu color:
LAN_CONFIGURE,Match settings…,Configurar partida…
LAN_HOST_TAG,host,host
LAN_KICK,Kick,Expulsar
LAN_KICKED,You were kicked from the match.,Te han expulsado de la partida.
LAN_LEAVE,Leave,Salir
LAN_PLAYERS,Players,Jugadores
LAN_HOST_IP,Join at: %s (port %d),Conectarse a: %s (puerto %d)
LAN_SETTINGS_SUMMARY,Match settings (host),Configuración de la partida (host)
LAN_SLOT,Seat %d:,Puesto %d:
LAN_SLOT_OPEN,Open,Abierto
LAN_SLOT_AI,AI,IA
LAN_SLOT_CLOSED,Closed,Cerrado
LAN_HOST_LEFT,The host has left the match.,El anfitrión ha abandonado la partida.
LAN_HOST_PAUSED,The host has paused the game,El anfitrión ha pausado la partida
CHAT_PLACEHOLDER,Type a message…,Escribe un mensaje…
CHAT_SEND,Send,Enviar
CHAT_HINT,Enter — chat,Enter — chat
